keywords
 DUPLICATE
 DUPL
 DUP
 DUPE
 DULP
 DUPLI
 1000DUPL
 XSQ
 XET
 PREFERRED
 PF
 PFD
 PREF
 'PF'
 WARRANT
 WARRANTS
 WTS
 WTS2
 WARRT
 DEB
 DB
 DCB
 DEBT
 DEBENTURES
 DEBENTURE
 RLST IT
 INVESTMENT TRUST
 INV TST
 UNIT TRUST
 UNT TST
 TRUST UNITS
 TST UNITS
 TRUST UNIT
 TST UNIT
 UT
 IT.
 .IT
500
 BOND
 DEFER
 DEP
 DEPY
 ELKS
 ETF
 FUND
 FD
 IDX
 INDEX
 LP
 MIPS
 MITS
 MITT
 MPS
 NIKKEI
 NOTE
 PERQS
 PINES
 PRTF
 PTNS
 PTSHP
 QUIBS
 QUIDS
 RATE
 RCPTS
 RECEIPTS
 REIT
 RETUR
 SCORE
 SPDR
 STRYPES
 TOPRS
 UNIT
 UNT
 UTS
 WTS
 XXXXX
 YIELD
 YLD
 EXPIRED
 EXPD
 EXPIRY
 EXPY
